author,nb_commentaires,total_likes,nb_reponses,score_influence
@CogitoEdu,28,428,26,962
@BoatPui,2,246,0,494
@wijdax,40,82,38,318
@Sosanakinedits,20,108,18,290
@muftah.sahrawi,16,114,14,286
@DR_ndo,29,90,21,272
@Rivan98,4,116,2,242
@SunsetNova,11,85,6,199
@sportssaga4839,32,28,32,184
@TheBouyaOmar,2,84,0,170
@chadllhatim3569,11,67,0,145
@LIVESTREAM-e3o,8,68,0,144
@lifeisart5450,10,58,6,144
@FreeSaharawi,10,50,8,134
@7296ugdkgh,30,4,30,128
@jaisbrennan7696,18,24,18,120
@quimera7012,2,58,0,118
@djidji5127,4,56,0,116
@samimellouki3139,22,29,11,113
@Blackisciple,6,46,4,110
@Electro_Hiddens,8,38,6,102
@chrishac100,2,50,0,102
@StefanStefan-l7l,6,37,5,95
@Lily-e-n4p,2,46,0,94
@youssefbattouta9790,11,29,8,93
@YasserMaghribi,9,31,7,92
@TheKaiserofeurope,10,26,10,92
@dzpatrioteziridedjazairi8196,22,6,19,91
@imadsbai1213,8,32,6,90
@nawfalism,2,40,0,82
@malcomgreen4747,6,30,4,78
@muhammadrafirpc1050,2,37,0,76
@--36--,10,20,8,74
@ubuntu2551,10,16,10,72
@TheAlfatipo,2,32,2,72
@Frenchkisssss,5,29,3,72
@VICENews,1,35,0,71
@khelilalikridi,2,34,0,70
@lola-mo5sh,22,0,16,70
@itzrealbon,7,24,5,70
@MarkGovern,2,32,0,66
@poultryguy,2,32,0,66
@rox282,14,8,12,66
@frankfurter9267,3,28,2,65
@bardamu8404,4,30,0,64
@walid3397,10,13,9,63
@andresmora5192,2,29,1,63
@jovannacarranza1881,5,22,4,61
@Badrianolima,14,2,14,60
@PrimetimeX,15,0,15,60
@maxkingjoe5460,14,2,14,60
@aviava7097,1,28,0,57
@Rider-lo9vt,1,28,0,57
@trueme8442,10,20,2,56
@Ataychiller,8,12,8,56
@jeyaramsathees6128,2,24,2,56
@paisgeo,14,0,14,56
@yyyyyy-ro8ni,8,12,8,56
@OshinAttari,3,23,2,55
@jsiiwls,2,26,0,54
@craig3077,2,26,0,54
@nourden13490,10,13,6,54
@beautifulbaby4585,8,13,6,52
@airdreamgalaxy3554,4,18,4,52
@yugarten8523,2,22,2,52
@Adam-be1kc,14,0,12,50
@ultrainstinct6715,12,4,10,50
@Nhtmgnj,2,24,0,50
@redabakkali6390,2,24,0,50
@RiyadKherrati,2,24,0,50
@Phoenix67614,12,10,6,50
@thomism1016,1,24,0,49
@a.elhamri2798,10,4,10,48
@Terminatorabcd,4,22,0,48
@BumbleBee-ur4uo,12,0,12,48
@elidrysyabdelhamid5579,5,15,4,47
@abspeedy1779,7,14,4,47
@MazinhoShenthen,8,7,8,46
@thegeographyguy4059,3,21,0,45
@LasiadSH,10,4,9,45
@patxiaznar9656,11,3,9,44
@JibZiad,8,6,8,44
@h_elyy,6,10,6,44
@z0rO999,10,2,10,44
@cmsacademy1673,6,12,4,42
@abdelillahmoukkad3371,2,20,0,42
@independenceforkabylietizi636,12,4,7,41
@cillianmccauley,4,12,4,40
@bobmorane9200,2,16,2,40
@samadresch7809,10,0,10,40
@wyomed,3,18,0,39
@EdA-bz3bu,2,18,0,38
@MrDinars2004,6,10,4,38
@adam11ait,2,18,0,38
@AfcSaka_10,2,18,0,38
@abdenour6576,8,6,6,38
@Blackflashsolos-u8r,2,18,0,38
@AllalBenAdam-v8k,4,14,2,38
@fab09-o7t,7,15,0,37
@malickbaldeh1544,1,18,0,37
@joeletaxi7956,6,9,4,36
@casablanca1706,2,14,2,36
@martindre8,9,0,9,36
