author,degree_centrality,betweenness_centrality,in_degree,out_degree
@smoreno5532,0.0016778523489932886,0.0,0,1
@martindre8,0.0050335570469798654,0.0,0,3
Ugyj9AgO4MIzPEOAwix4AaABAg,0.0016778523489932886,0.0,1,0
UgxMdr1ds-ehV3e1tRd4AaABAg,0.0016778523489932886,0.0,1,0
UgyrhTfLQ4XKp1FxhTB4AaABAg,0.0016778523489932886,0.0,1,0
@samadresch7809,0.0050335570469798654,0.0,0,3
UgwRqIMZjeC59xXa-XV4AaABAg,0.0050335570469798654,0.0,3,0
@z0rO999,0.0050335570469798654,0.0,0,3
@sportssaga4839,0.010067114093959731,0.0,0,6
@Alucard-j7l,0.003355704697986577,0.0,0,2
UgxIpqjN3o81XxOhLLV4AaABAg,0.0016778523489932886,0.0,1,0
UgwOcvI6TiHzZFLgxBd4AaABAg,0.0016778523489932886,0.0,1,0
UgxIuFGm-rBax5dnMO94AaABAg,0.0016778523489932886,0.0,1,0
@noone2262,0.0016778523489932886,0.0,0,1
UgyB4pr9LMd7sJiilXl4AaABAg,0.016778523489932886,0.0,10,0
@--36--,0.0016778523489932886,0.0,0,1
@mohfar8605,0.0016778523489932886,0.0,0,1
@youneskhouloud2504,0.0016778523489932886,0.0,0,1
@Alsharaylive,0.003355704697986577,0.0,0,2
@shush1501,0.0016778523489932886,0.0,0,1
@user-ox4hz3cn8b,0.0016778523489932886,0.0,0,1
@rachouak1195,0.0016778523489932886,0.0,0,1
UgyBVmBYlM8UnwQYBxp4AaABAg,0.0016778523489932886,0.0,1,0
@DonCorleone803,0.0016778523489932886,0.0,0,1
UgxP3c2HG7tm9ESRp_d4AaABAg,0.020134228187919462,0.0,12,0
@angryyoungman66,0.0016778523489932886,0.0,0,1
@wassim9372,0.0016778523489932886,0.0,0,1
@salam11153,0.0016778523489932886,0.0,0,1
@mydrissafilalidrissialami9763,0.0016778523489932886,0.0,0,1
UgzHbTW_ZpT5lTXfYdh4AaABAg,0.0016778523489932886,0.0,1,0
UgycP9Uwn3KEkiTI7EF4AaABAg,0.0016778523489932886,0.0,1,0
@SamB-f2y,0.0016778523489932886,0.0,0,1
UgxOYTKZ2TaHG-bgzjh4AaABAg,0.0016778523489932886,0.0,1,0
@MohaBakk-v7c,0.0016778523489932886,0.0,0,1
UgyiHoPC8f7IwwA5-l94AaABAg,0.0016778523489932886,0.0,1,0
@aminouchrif33,0.003355704697986577,0.0,0,2
UgyOQktw6Ld3OLOuPF14AaABAg,0.0016778523489932886,0.0,1,0
Ugz_j2J1oLRvryqZc4x4AaABAg,0.0050335570469798654,0.0,3,0
@Dorka212,0.0016778523489932886,0.0,0,1
UgzufOWjYpR083Ej6-d4AaABAg,0.0016778523489932886,0.0,1,0
@guldarheel1204,0.0016778523489932886,0.0,0,1
UgxX_opjGSxE7ZCiaBN4AaABAg,0.0050335570469798654,0.0,3,0
@Casaoasissz,0.0016778523489932886,0.0,0,1
Ugzq1yE3qM7ETEZDFzh4AaABAg,0.0016778523489932886,0.0,1,0
@MaxMiller-j8s,0.003355704697986577,0.0,0,2
UgwkhXh78A37dyumtHJ4AaABAg,0.003355704697986577,0.0,2,0
@tanakatako6547,0.0016778523489932886,0.0,0,1
@xmanykl4400,0.0016778523489932886,0.0,0,1
UgytCnNeOSP8Hax1D1N4AaABAg,0.0016778523489932886,0.0,1,0
@masjidbgalkie8076,0.003355704697986577,0.0,0,2
Ugxrp3V4WcUvGzfqv814AaABAg,0.0050335570469798654,0.0,3,0
@Makeitrealforever,0.0016778523489932886,0.0,0,1
@marocmonpays1307,0.0016778523489932886,0.0,0,1
@NovaAuraX,0.0050335570469798654,0.0,0,3
UgwirG0gwHuCaRPFSRx4AaABAg,0.0016778523489932886,0.0,1,0
@youssefbattouta9790,0.010067114093959731,0.0,0,6
UgwQNi94OENSscnMK8B4AaABAg,0.0016778523489932886,0.0,1,0
Ugy3HVljcG6Z1iRwF8t4AaABAg,0.0050335570469798654,0.0,3,0
@Lmsabis1,0.0050335570469798654,0.0,0,3
@belhinaniabdelkhalek6481,0.003355704697986577,0.0,0,2
UgygMKyRVSxobdVrmsN4AaABAg,0.010067114093959731,0.0,6,0
Ugy0eCOLqUKcMLv6cxp4AaABAg,0.0016778523489932886,0.0,1,0
UgwKR0aAgOYm1er2H2N4AaABAg,0.003355704697986577,0.0,2,0
@logitech7989,0.003355704697986577,0.0,0,2
Ugyh8IebLoO79c6hCbd4AaABAg,0.003355704697986577,0.0,2,0
@Phoenix67614,0.003355704697986577,0.0,0,2
@logiqueh7354,0.0016778523489932886,0.0,0,1
Ugy4ucc7yiraeUNi4WR4AaABAg,0.003355704697986577,0.0,2,0
@vanityslams6693,0.0016778523489932886,0.0,0,1
UgzFkGDX7sJSErgtNmJ4AaABAg,0.0050335570469798654,0.0,3,0
@MA-nz1gk,0.0016778523489932886,0.0,0,1
Ugxmd9estfI2vUUJDYR4AaABAg,0.006711409395973154,0.0,4,0
@FreeSaharawi,0.003355704697986577,0.0,0,2
@LeilaMontes55,0.0016778523489932886,0.0,0,1
@212-y7p,0.0016778523489932886,0.0,0,1
UgwEzTfNLR2ZkIJcQjZ4AaABAg,0.0016778523489932886,0.0,1,0
@aaradhyadarshan19129,0.0016778523489932886,0.0,0,1
UgxnPanNiG0wJ3wGzeh4AaABAg,0.006711409395973154,0.0,4,0
@Electro_Hiddens,0.003355704697986577,0.0,0,2
@Morish.Maps.,0.0016778523489932886,0.0,0,1
@mybikinishop6684,0.0016778523489932886,0.0,0,1
UgwNiclKLVT0X-aYmq54AaABAg,0.008389261744966443,0.0,5,0
@julianbashir8277,0.0016778523489932886,0.0,0,1
@Blackisciple,0.003355704697986577,0.0,0,2
@h_elyy,0.0050335570469798654,0.0,0,3
@ageupest5203,0.0016778523489932886,0.0,0,1
Ugz1jMLVenzpDFnAtEx4AaABAg,0.0016778523489932886,0.0,1,0
@Mmadingo,0.003355704697986577,0.0,0,2
UgwiR_v1mKVAXA_uAF54AaABAg,0.003355704697986577,0.0,2,0
@Voice-of-honor-u8f,0.0016778523489932886,0.0,0,1
@JibZiad,0.003355704697986577,0.0,0,2
UgwipIgFbw9IQh-8TKx4AaABAg,0.008389261744966443,0.0,5,0
@a.elhamri2798,0.003355704697986577,0.0,0,2
@brinjoness3386,0.0016778523489932886,0.0,0,1
@mohamedelkasmi1680,0.0016778523489932886,0.0,0,1
@melodieday-yf6dn,0.0016778523489932886,0.0,0,1
@bruxelleskarim,0.0016778523489932886,0.0,0,1
@admar1208,0.0016778523489932886,0.0,0,1
@Oussama-c7r,0.0016778523489932886,0.0,0,1
@ravvviiioliii,0.0016778523489932886,0.0,0,1
UgzP5wlHoAwO9PhK0nV4AaABAg,0.0016778523489932886,0.0,1,0
@redatoo,0.0016778523489932886,0.0,0,1
Ugybg8DFW-NfOxm5pMd4AaABAg,0.006711409395973154,0.0,4,0
@keterscp1064,0.0016778523489932886,0.0,0,1
@morokko5stars68,0.003355704697986577,0.0,0,2
@yugarten8523,0.0016778523489932886,0.0,0,1
UgwNDwUH-mL_NihI4SZ4AaABAg,0.018456375838926176,0.0,11,0
@Phe9611,0.0016778523489932886,0.0,0,1
@higgs923,0.0016778523489932886,0.0,0,1
@erolc82,0.003355704697986577,0.0,0,2
@Jamal-b7j5g,0.0016778523489932886,0.0,0,1
@hakdh-mre,0.0050335570469798654,0.0,0,3
Ugyy5ddLcnTOk7r314F4AaABAg,0.003355704697986577,0.0,2,0
