video_id,keyword,comment_id,author,text,likes,published_at,reply_to
DaPnzZi3hoE,Western Sahara Morocco,UgxsLemM0gGjevVGZ-t4AaABAg,@hamza-t2c,Congrats to Morocco,0,2026-01-20T12:26:45Z,
DaPnzZi3hoE,Western Sahara Morocco,Ugz1VxAchNfGi_eK2ep4AaABAg,@lopesANDERSONsilva,I hope Western Sahara gains its independence in the future. Morocco’s international image has been quite damaged following the AFCON final.,0,2026-01-20T10:37:36Z,
DaPnzZi3hoE,Western Sahara Morocco,UgxfATQjVRLgaUl5N4F4AaABAg,@dead0show,Biased report,0,2026-01-19T17:47:28Z,
DaPnzZi3hoE,Western Sahara Morocco,UgzAUPwMi0x1TuoB9314AaABAg,@ShaneWKenneth,W E S T E R N      P R O P A G A N D A,0,2026-01-19T04:15:47Z,
DaPnzZi3hoE,Western Sahara Morocco,Ugw1yvYtsSqLQaa_Dz94AaABAg,@mitzelderabdenour,you lie polisario is  in tindouf it out of the sahara the ex ledear of polisario abdel aziz al mourrakuchi was born in morocco in marrakech and the creator of polisario al wali has a bachelor from rabat capital of moroicco,0,2026-01-19T01:11:35Z,
DaPnzZi3hoE,Western Sahara Morocco,UgxZo1mVk7cjFDN-p9F4AaABAg,@tiredstoner,Free Western Sahara 🇪🇭,0,2026-01-18T23:50:10Z,
DaPnzZi3hoE,Western Sahara Morocco,UgwvL91CRyB36cyiVo14AaABAg,@SHVRWK,Corrupt junta oil money is paying dividends for the Germans I see.,0,2026-01-17T09:58:37Z,
DaPnzZi3hoE,Western Sahara Morocco,UgxVGbjksIcCrphzjIR4AaABAg,@R4tlr,"used to be a Spanish colony, what was it before that ?",0,2026-01-17T09:40:08Z,
DaPnzZi3hoE,Western Sahara Morocco,UgxDtgJkbreiOM3hBHd4AaABAg,@icarus_light,Let African people build something for once! And Morocco is actually starting something big! Africa is so sick of separatists and civil wars! Come on!!!!! Use your brain !,0,2026-01-15T18:27:27Z,
DaPnzZi3hoE,Western Sahara Morocco,UgwUWVmib_w0WS_LFX54AaABAg,@icarus_light,"This conflict is another remain of France colonisation, much like UK they drew lines and called them borders.

Btw historically that land should be Moroccan. You don't any sahraoui people claiming their independence in all of Africa Sahara! When you dig into this conflict, the Polisario front was created by Kadaphi the dictator who ruled Libia and is now supported by all dictatorships Algeria, Iran, Venezuela...",1,2026-01-15T18:17:05Z,
DaPnzZi3hoE,Western Sahara Morocco,UgziyNKGGWTH6A5_DSh4AaABAg,@amritrao7687,Who owned the Sahara before Spain colonized?,0,2026-01-15T12:46:39Z,
DaPnzZi3hoE,Western Sahara Morocco,UgyImcPux9PiFoxaq-t4AaABAg,@arigrande178,This documentary is very reductive of the Moroccan Empire history.,0,2026-01-14T17:09:16Z,
DaPnzZi3hoE,Western Sahara Morocco,Ugxn8oLe-pbOn0F9QzR4AaABAg,@Selinadobrev,The “recognition”of the Sahara is not an ancient truth; it is a British Export from [1895]. It is the twin sister of the [1917] Balfour Declaration. The British used the same “Imperial Software”to give away Sahrawi land and Palestinian land to create loyal “Managers”for their trade routes. You aren't defending your “ancestral soil'; you are defending a British Colonial Contract designed to protect the gates of the Mediterranean and the Suez Canal.,1,2026-01-12T16:55:30Z,
DaPnzZi3hoE,Western Sahara Morocco,Ugyj9AgO4MIzPEOAwix4AaABAg,@walidjelloul485,"Morocco illegally occupied the western Sahara ? , that's funny coming from people who illegally stole Africa's resources, committed genocide in Namibia participated in segregation and the best irony of all is that they wanted to colonise  Morocco as well a century ago (1905 tangier crisis), German  hypocrites",0,2026-01-12T11:03:16Z,
DaPnzZi3hoE,Western Sahara Morocco,Ugyj9AgO4MIzPEOAwix4AaABAg.ARsd515uoH5ARu3dMLX0Hd,@martindre8,and thats not even the worst they have done😂,0,2026-01-13T00:23:16Z,Ugyj9AgO4MIzPEOAwix4AaABAg
DaPnzZi3hoE,Western Sahara Morocco,UgwG6_CsLJIKbJl1o4V4AaABAg,@Jompabompa,Good luck Morrocco.,0,2026-01-11T09:51:04Z,
DaPnzZi3hoE,Western Sahara Morocco,UgwUhX_9SFsvgjKrTad4AaABAg,@YoutubeMichael538,"One question that will render this entire video a joke. Was there ever a country called Western Sahara in the history of the world. What gamble are you talking about? Morocco recovered its territories, and it is not over; next is the Eastern Sahara.",0,2026-01-09T21:34:56Z,
DaPnzZi3hoE,Western Sahara Morocco,UgxMdr1ds-ehV3e1tRd4AaABAg,@jeremiahmorgan8772,"As an American, I support Morocco M6 and their sovereignty. They were one of our first allies.",0,2026-01-09T20:20:36Z,
DaPnzZi3hoE,Western Sahara Morocco,UgxMdr1ds-ehV3e1tRd4AaABAg.ARluUSO-MhEARu3juw4Ryw,@martindre8,literally the first to offer recognition 🇲🇦❤️🇺🇸,0,2026-01-13T00:24:09Z,UgxMdr1ds-ehV3e1tRd4AaABAg
DaPnzZi3hoE,Western Sahara Morocco,UgzKLaWIO47JXJBKliV4AaABAg,@logitech7989,It's not a Gamble. It's a rightful case for us. and the occupation created this conflict to keep milking the cows.,0,2026-01-08T22:08:04Z,
DaPnzZi3hoE,Western Sahara Morocco,Ugx39Vfu9qG5wfq0fnt4AaABAg,@amineboum9493,"Well so it started by recognizing Israel, then a domino effect took place, i wonder why ?",0,2026-01-05T12:02:16Z,
DaPnzZi3hoE,Western Sahara Morocco,UgyCVEHuxgulrlRBxyp4AaABAg,@hfredydl,"This ladies and gentlemen is how you create an insurgency - the control and diplomatic efforts, the colonization from the north to Western Sahara, all in the end will lead to a determined group that will use insurgency tactics. It happens all the time when locals aren’t recognized or given autonomy. Tyrants never learn",0,2026-01-02T22:41:20Z,
DaPnzZi3hoE,Western Sahara Morocco,Ugxfd2pHj7V2vRGfwXd4AaABAg,@andreamuraskin5364,This is interesting. I know very little about this conflict and I find maps fascinating. Would like to know more about what life is like in Western Sahara for people who live there.,0,2026-01-02T01:04:41Z,
DaPnzZi3hoE,Western Sahara Morocco,Ugxtk1cH3gMzqes_mX54AaABAg,@josephchoe,So Morocco sent settlers into the region and then annexed it? Where are the flotillas and university protests?,0,2026-01-01T17:31:59Z,
DaPnzZi3hoE,Western Sahara Morocco,UgxNyX5HKDPYmd30WB94AaABAg,@normandieelouafi5286,Western Sahara.,0,2026-01-01T14:19:25Z,
DaPnzZi3hoE,Western Sahara Morocco,Ugzu5zUjAHvjvO1AOj14AaABAg,@thezegui93,LIES LIES LIES,0,2025-12-31T16:56:37Z,
DaPnzZi3hoE,Western Sahara Morocco,Ugw3f99hURdceOXilid4AaABAg,@Pourperso,It was called green march in reference to the colour of the coran ( green ) : people started walking with a coran in their hands towards the sahara !,0,2025-12-31T14:05:08Z,
DaPnzZi3hoE,Western Sahara Morocco,UgxRT9vfHs3Ck_k6cLd4AaABAg,@chubaka-1982,The biggest enemies are always the neighbors...,0,2025-12-31T12:09:53Z,
DaPnzZi3hoE,Western Sahara Morocco,UgzpEi-ngnlfI3hXUrx4AaABAg,@AI-212,Need to do your research DW .,0,2025-12-31T11:35:56Z,
DaPnzZi3hoE,Western Sahara Morocco,UgyIKA0bOF39ospiK9Z4AaABAg,@lelik0911,"For thousands of years, powers clashed over territory and now, suddenly, in the last fifty or so years, we want to clutch our pearls and argue over sovereignty. Give me a break. Territory belongs to those who can hold onto it.",0,2025-12-31T01:53:33Z,
DaPnzZi3hoE,Western Sahara Morocco,Ugz2hpJUa9NgNqVrgMN4AaABAg,@ssimkaali1324,"you clearly don't know what you're talking about. either do you job correctly or don't. what do you mean by it was a spanish colony? That is it? that's how far you're willing to go? how about before? and what do you mean by occupied territory? are you taking sides? that is not a universal truth. if the  UN says so then mention the UN, if it's the POLISARIO mention them as the origin of this claim. I'm so tired of so called journalists doing a botch job trying to describe a conflict they don't understand. avoid commenting on conflicts outside Europe because you evidently don't understand them. or get real professionals.  and that's just the first two minutes. shamefull",0,2025-12-30T23:52:27Z,
DaPnzZi3hoE,Western Sahara Morocco,Ugz99Fq-rrlWjX9sOHt4AaABAg,@hafidbouzerar3329,How came Morocco invaded West Sahara 🇪🇭 is not fair.,0,2025-12-30T23:40:46Z,
DaPnzZi3hoE,Western Sahara Morocco,UgwMrpkhIxbhw28ikLd4AaABAg,@batmous,Didn't seem to hear that much material from the Sahrawi point of view,0,2025-12-30T17:31:33Z,
DaPnzZi3hoE,Western Sahara Morocco,UgwIbXXG5h-LdutqHrJ4AaABAg,@SuperRguibi,"May it stuck into your throught and stuff you to life. Yes the Sahara is Moroccan say it until it fills your brains. And if the ones paying you to speak durt about Morocco have the cohones to take it away from Morocco then let them make their move. All the world know where to find the map of Morocco before the French and Spanish colonisations. We still have to take back Sicily, Al Andalus and many more is missing from the Morocan map after decolonisation. Just question of time. The dogs bark but the tranquil caravan passes.",0,2025-12-29T18:08:01Z,
DaPnzZi3hoE,Western Sahara Morocco,Ugw2cHS4vXUEsIGKfDV4AaABAg,@vincechase897,"Morocco won, Algeria can cry now",1,2025-12-29T13:33:33Z,
DaPnzZi3hoE,Western Sahara Morocco,UgwXnYXdYY6d_S5aGax4AaABAg,@ahmedabakar5166,Go Morocco,0,2025-12-29T08:57:29Z,
DaPnzZi3hoE,Western Sahara Morocco,UgzIVyvN4tYPklTelQR4AaABAg,@pebos1234567890,Western Sahara has nothing going for it. Morocco would provide much needed structure,0,2025-12-28T17:25:22Z,
DaPnzZi3hoE,Western Sahara Morocco,UgxKpuuwauaQJ8eNBpZ4AaABAg,@l2etranger,Should Morocco be the mediator consolidating the territories around its neighbors by returning the region from Guerguerat to LaGuera to the city of Nouadhibou?,0,2025-12-27T07:53:27Z,
DaPnzZi3hoE,Western Sahara Morocco,UgyZ5bg9cH5dSIYIi-94AaABAg,@rlynotabot,"So... let me guess ... germany needs gas so you copied the ""Le Monde"" Documentary ? lol",0,2025-12-26T23:52:45Z,
DaPnzZi3hoE,Western Sahara Morocco,Ugw1sUxrU0WOtu2bJsp4AaABAg,@chtaibihamza,"confirming the original map and not changing the map. and it is a moroccan sahara not a western sahara. we know that you are one of our enemies, don't worry.",0,2025-12-26T13:14:58Z,
DaPnzZi3hoE,Western Sahara Morocco,UgxptDnnfY3-K4mBdp94AaABAg,@googleaccount7977,Imagine i took your phone and you take it back from me. Is that theft or taking back what belongs to you? 🤔,0,2025-12-26T10:48:49Z,
DaPnzZi3hoE,Western Sahara Morocco,Ugyw3hTpjvt7FqVTxd94AaABAg,@globalismoblackman,"So what happened to the rights of the Sahrawi people 🤔?. Lost is the fog of global geopolitics?.🤔🤔🤔🤔.
Where is Jesus and Allah to save the dignity of these exploited people ?",0,2025-12-26T10:22:23Z,
DaPnzZi3hoE,Western Sahara Morocco,UgzSL2JaRji3vTVKE8Z4AaABAg,@K24..,You should have added the corruption of media such as yours. The moral collapse of nowadays where a colonial project is presented as if i5 was an olympic achievement. No wonder why there a genocide ongoing in front of our eyes and yet you have media such as DW lecturing us on antisemitism…DW you are exposed,0,2025-12-26T08:07:56Z,
DaPnzZi3hoE,Western Sahara Morocco,UgzBIoLZiPl-KNfUWFl4AaABAg,@everyday3150,sounds like morocco stealing land with the help of the US  and its friends who are experts of stealing lands,0,2025-12-26T06:23:12Z,
DaPnzZi3hoE,Western Sahara Morocco,UgwDawCiK1TdMpafHRx4AaABAg,@MatthewBurns8,"Most people would rather have Western Sahara ruled by Morocco than by ISIS, which is the other true power in the area. I do love the ""those who question Moroccan sovereignty are imprisoned"". I mean that's kinda how it works in every country, either you respect their laws or go to jail? I understand the unspoken refutation of Morocco's rule in the area butttttttttt probably not gonna work. No one is on ISIS's side, the Berber tribes are fractured in the area (apart from the IS-leaning ones), and the don't seem to be able to win. Eventually I imagine that there will be an ISIS attack or something and Morocco finally feels ready enough to restart the war between the two and take most or all of the remaining territory of Western Sahara east of the Great Berm.",0,2025-12-26T00:32:54Z,
DaPnzZi3hoE,Western Sahara Morocco,UgzBMXZJG7Ie0u5h1N14AaABAg,@formsab257,"Land stealing.
And then, everyone will come and accuse the west.",0,2025-12-26T00:18:04Z,
DaPnzZi3hoE,Western Sahara Morocco,UgyfI1haV-TJUn2Cin94AaABAg,@jf3457,Western Sahara belongs to Mauritania because it fits better in the African Map puzzle.,0,2025-12-25T19:21:25Z,
