video_id,keyword,comment_id,author,text,likes,published_at,reply_to,clean_text
DaPnzZi3hoE,Western Sahara Morocco,UgxsLemM0gGjevVGZ-t4AaABAg,@hamza-t2c,Congrats to Morocco,0,2026-01-20T12:26:45Z,,congrats to morocco
DaPnzZi3hoE,Western Sahara Morocco,Ugz1VxAchNfGi_eK2ep4AaABAg,@lopesANDERSONsilva,I hope Western Sahara gains its independence in the future. Morocco’s international image has been quite damaged following the AFCON final.,0,2026-01-20T10:37:36Z,,i hope western sahara gains its independence in the future moroccos international image has been quite damaged following the afcon final
DaPnzZi3hoE,Western Sahara Morocco,UgxfATQjVRLgaUl5N4F4AaABAg,@dead0show,Biased report,0,2026-01-19T17:47:28Z,,biased report
DaPnzZi3hoE,Western Sahara Morocco,UgzAUPwMi0x1TuoB9314AaABAg,@ShaneWKenneth,W E S T E R N      P R O P A G A N D A,0,2026-01-19T04:15:47Z,,w e s t e r n p r o p a g a n d a
DaPnzZi3hoE,Western Sahara Morocco,Ugw1yvYtsSqLQaa_Dz94AaABAg,@mitzelderabdenour,you lie polisario is  in tindouf it out of the sahara the ex ledear of polisario abdel aziz al mourrakuchi was born in morocco in marrakech and the creator of polisario al wali has a bachelor from rabat capital of moroicco,0,2026-01-19T01:11:35Z,,you lie polisario is in tindouf it out of the sahara the ex ledear of polisario abdel aziz al mourrakuchi was born in morocco in marrakech and the creator of polisario al wali has a bachelor from rabat capital of moroicco
DaPnzZi3hoE,Western Sahara Morocco,UgxZo1mVk7cjFDN-p9F4AaABAg,@tiredstoner,Free Western Sahara 🇪🇭,0,2026-01-18T23:50:10Z,,free western sahara
DaPnzZi3hoE,Western Sahara Morocco,UgwvL91CRyB36cyiVo14AaABAg,@SHVRWK,Corrupt junta oil money is paying dividends for the Germans I see.,0,2026-01-17T09:58:37Z,,corrupt junta oil money is paying dividends for the germans i see
DaPnzZi3hoE,Western Sahara Morocco,UgxVGbjksIcCrphzjIR4AaABAg,@R4tlr,"used to be a Spanish colony, what was it before that ?",0,2026-01-17T09:40:08Z,,used to be a spanish colony what was it before that
DaPnzZi3hoE,Western Sahara Morocco,UgxDtgJkbreiOM3hBHd4AaABAg,@icarus_light,Let African people build something for once! And Morocco is actually starting something big! Africa is so sick of separatists and civil wars! Come on!!!!! Use your brain !,0,2026-01-15T18:27:27Z,,let african people build something for once and morocco is actually starting something big africa is so sick of separatists and civil wars come on use your brain
DaPnzZi3hoE,Western Sahara Morocco,UgwUWVmib_w0WS_LFX54AaABAg,@icarus_light,"This conflict is another remain of France colonisation, much like UK they drew lines and called them borders.

Btw historically that land should be Moroccan. You don't any sahraoui people claiming their independence in all of Africa Sahara! When you dig into this conflict, the Polisario front was created by Kadaphi the dictator who ruled Libia and is now supported by all dictatorships Algeria, Iran, Venezuela...",1,2026-01-15T18:17:05Z,,this conflict is another remain of france colonisation much like uk they drew lines and called them borders btw historically that land should be moroccan you dont any sahraoui people claiming their independence in all of africa sahara when you dig into this conflict the polisario front was created by kadaphi the dictator who ruled libia and is now supported by all dictatorships algeria iran venezuela
DaPnzZi3hoE,Western Sahara Morocco,UgziyNKGGWTH6A5_DSh4AaABAg,@amritrao7687,Who owned the Sahara before Spain colonized?,0,2026-01-15T12:46:39Z,,who owned the sahara before spain colonized
DaPnzZi3hoE,Western Sahara Morocco,UgyImcPux9PiFoxaq-t4AaABAg,@arigrande178,This documentary is very reductive of the Moroccan Empire history.,0,2026-01-14T17:09:16Z,,this documentary is very reductive of the moroccan empire history
DaPnzZi3hoE,Western Sahara Morocco,Ugxn8oLe-pbOn0F9QzR4AaABAg,@Selinadobrev,The “recognition”of the Sahara is not an ancient truth; it is a British Export from [1895]. It is the twin sister of the [1917] Balfour Declaration. The British used the same “Imperial Software”to give away Sahrawi land and Palestinian land to create loyal “Managers”for their trade routes. You aren't defending your “ancestral soil'; you are defending a British Colonial Contract designed to protect the gates of the Mediterranean and the Suez Canal.,1,2026-01-12T16:55:30Z,,the recognitionof the sahara is not an ancient truth it is a british export from it is the twin sister of the balfour declaration the british used the same imperial softwareto give away sahrawi land and palestinian land to create loyal managersfor their trade routes you arent defending your ancestral soil you are defending a british colonial contract designed to protect the gates of the mediterranean and the suez canal
DaPnzZi3hoE,Western Sahara Morocco,Ugyj9AgO4MIzPEOAwix4AaABAg,@walidjelloul485,"Morocco illegally occupied the western Sahara ? , that's funny coming from people who illegally stole Africa's resources, committed genocide in Namibia participated in segregation and the best irony of all is that they wanted to colonise  Morocco as well a century ago (1905 tangier crisis), German  hypocrites",0,2026-01-12T11:03:16Z,,morocco illegally occupied the western sahara thats funny coming from people who illegally stole africas resources committed genocide in namibia participated in segregation and the best irony of all is that they wanted to colonise morocco as well a century ago tangier crisis german hypocrites
DaPnzZi3hoE,Western Sahara Morocco,Ugyj9AgO4MIzPEOAwix4AaABAg.ARsd515uoH5ARu3dMLX0Hd,@martindre8,and thats not even the worst they have done😂,0,2026-01-13T00:23:16Z,Ugyj9AgO4MIzPEOAwix4AaABAg,and thats not even the worst they have done
DaPnzZi3hoE,Western Sahara Morocco,UgwG6_CsLJIKbJl1o4V4AaABAg,@Jompabompa,Good luck Morrocco.,0,2026-01-11T09:51:04Z,,good luck morrocco
DaPnzZi3hoE,Western Sahara Morocco,UgwUhX_9SFsvgjKrTad4AaABAg,@YoutubeMichael538,"One question that will render this entire video a joke. Was there ever a country called Western Sahara in the history of the world. What gamble are you talking about? Morocco recovered its territories, and it is not over; next is the Eastern Sahara.",0,2026-01-09T21:34:56Z,,one question that will render this entire video a joke was there ever a country called western sahara in the history of the world what gamble are you talking about morocco recovered its territories and it is not over next is the eastern sahara
DaPnzZi3hoE,Western Sahara Morocco,UgxMdr1ds-ehV3e1tRd4AaABAg,@jeremiahmorgan8772,"As an American, I support Morocco M6 and their sovereignty. They were one of our first allies.",0,2026-01-09T20:20:36Z,,as an american i support morocco m and their sovereignty they were one of our first allies
DaPnzZi3hoE,Western Sahara Morocco,UgxMdr1ds-ehV3e1tRd4AaABAg.ARluUSO-MhEARu3juw4Ryw,@martindre8,literally the first to offer recognition 🇲🇦❤️🇺🇸,0,2026-01-13T00:24:09Z,UgxMdr1ds-ehV3e1tRd4AaABAg,literally the first to offer recognition
DaPnzZi3hoE,Western Sahara Morocco,UgzKLaWIO47JXJBKliV4AaABAg,@logitech7989,It's not a Gamble. It's a rightful case for us. and the occupation created this conflict to keep milking the cows.,0,2026-01-08T22:08:04Z,,its not a gamble its a rightful case for us and the occupation created this conflict to keep milking the cows
